kemsa_code,recommended_default_code,excel_name,match_name,is_tracer,section,category,pack_size,excel_price,excel_row,suggested_csv_file,fuzzy_suggestions
PM08LEN007,PM08LEN007,LENALIDOMIDE CAPSULE 25MG,LENALIDOMIDE CAPSULE 25MG,False,ONCOLOGY,IMMUNOMODULATORS,Pack of 21,15375,334,kesses_oncology.csv,0.50|init.bedc3e11-0078-5359-b5be-d94a652014ed|kesses_pharmaceuticals_stock.csv|CYCLOSPORIN CAPSULE 25MG
PM08LEN005,PM08LEN005,LENALIDOMIDE CAPSULE 5MG,LENALIDOMIDE CAPSULE 5MG,False,ONCOLOGY,IMMUNOMODULATORS,Pack of 21,6145,335,kesses_oncology.csv,
PM08MET002,PM08MET002,METHOTREXATE SOLUTION FOR INJECTION 25MG/ML 2ML VIAL (AS SODIUM SALT PRESERVATIVE FREE),METHOTREXATE SOLUTION FOR INJECTION 25MG/ML 2ML VIAL (AS SODIUM SALT PRESERVATIVE FREE),False,ONCOLOGY,CYTOTOXIC MEDICINES,VIAL,235,336,kesses_oncology.csv,
PM08RTX003,PM08RTX003,RITUXIMAB SOLUTION FOR INJECTION 10MG/ML10 ML VIAL  - Mabthera,RITUXIMAB SOLUTION FOR INJECTION 10MG/ML10 ML VIAL - Mabthera,True,ONCOLOGY,TARGETED THERAPIES,PACK OF 2 VIAL,21300,339,kesses_oncology.csv,0.86|init.3399e318-408c-5168-b038-72c24fa9b04c|kesses_oncology.csv|RITUXIMAB SOLUTION FOR INJECTION 10MG/ML10 ML VIAL ;; 0.40|init.370e8794-88e2-5e00-a9f1-1eac03c30cc8|kesses_oncology.csv|RITUXIMAB SOLUTION FOR INJECTION 10 MG/ML 50 ML VIAL (500MG)
PM08RTX002,PM08RTX002,RITUXIMAB SOLUTION FOR INJECTION 10 MG/ML  50 ML VIAL (500MG)  - Mabthera,RITUXIMAB SOLUTION FOR INJECTION 10 MG/ML 50 ML VIAL (500MG) - Mabthera,True,ONCOLOGY,TARGETED THERAPIES,VIAL,52800,340,kesses_oncology.csv,0.88|init.370e8794-88e2-5e00-a9f1-1eac03c30cc8|kesses_oncology.csv|RITUXIMAB SOLUTION FOR INJECTION 10 MG/ML 50 ML VIAL (500MG) ;; 0.40|init.3399e318-408c-5168-b038-72c24fa9b04c|kesses_oncology.csv|RITUXIMAB SOLUTION FOR INJECTION 10MG/ML10 ML VIAL
PM08TRS002,PM08TRS002,TRASTUZUMAB INJECTION 600MG (SUBCUTANEOUS)  - Herceptin,TRASTUZUMAB INJECTION 600MG (SUBCUTANEOUS) - Herceptin,True,ONCOLOGY,TARGETED THERAPIES,VIAL,30800,341,kesses_oncology.csv,0.80|init.f1c0e7fc-713f-596f-bdfd-efa6be3c4a3c|kesses_oncology.csv|TRASTUZUMAB INJECTION 600MG (SUBCUTANEOUS)
NM18TAP001,NM18TAP001,AUTOCLAVING TAPE -  ¾ ( 19MM X 50M)  *** Tracer ***,AUTOCLAVING TAPE - ¾ ( 19MM X 50M),True,NON-PHARMACEUTICALS,TAPES,ROLL,320,377,kesses_non_pharmaceuticals.csv,0.75|init.f8b276fe-f462-5fa2-b613-b245bf176f3c|kesses_non_pharmaceuticals.csv|AUTOCLAVING TAPE - ¾ ( 19MM X 150M) ;; 0.56|init.4d609db9-4193-5cd4-873b-30408c427f9a|kesses_kemsa_stocks_received_latest.csv|AUTOCLAVING TAPE. ½ (19MM X 50M)
NM17CCU009,NM17CCU009,DARTS BOARD WITH 1 SET OF DARTS ARROWS,DARTS BOARD WITH 1 SET OF DARTS ARROWS,False,NON-PHARMACEUTICALS,REHABILITATIVE CARE CONSUMABLES,SET,2630,406,kesses_non_pharmaceuticals.csv,
NM03SUT178,NM03SUT178,SUTURE OB KIT –BRAIDED COATED POLYGLACTIN/POLYGLYCOLIC  910 NO 1 DOUBLE ARM HEAVY ½ CIRCLE ROUND BODY AND 1/2 TAPER CUTTING 40MM 180 CM PLUS 3/0 POLIGLECAPRONE 25MM UNDYED 3/8 CIRCLE 45- 70CM CUTTING,SUTURE OB KIT –BRAIDED COATED POLYGLACTIN/POLYGLYCOLIC 910 NO 1 DOUBLE ARM HEAVY ½ CIRCLE ROUND BODY AND 1/2 TAPER CUTTING 40MM 180 CM PLUS 3/0 POLIGLECAPRONE 25MM UNDYED 3/8 CIRCLE 45- 70CM CUTTING,True,NON-PHARMACEUTICALS,SUTURES,PIECE,650,519,kesses_non_pharmaceuticals.csv,0.85|init.d9b21b46-678a-5816-993b-505e16d48b27|kesses_non_pharmaceuticals.csv|OB KIT –BRAIDED COATED POLYGLACTIN/POLYGLYCOLIC 910 NO 1DOUBLE ARM HEAVY ½ CIRCLE ROUND BODY AND 1/2TAPER CUTTING 40MM 180 CM PLUS 3/0 POLIGLECAPRONE 25MM UNDYED 3/8 CIRCLE 45- 70CM CUTTING
NE03GEA021,NE03GEA021,THEATRE APRONS - REUSABLE,THEATRE APRONS - REUSABLE,False,NON-PHARMACEUTICALS,PROTECTIVE CLOTHING & GEAR,PIECE,1900,545,kesses_non_pharmaceuticals.csv,
NL02CNS001,NL02CNS001,APPLICATOR WOODEN STICKS,APPLICATOR WOODEN STICKS,False,LAB PRODUCTS,CONSUMABLES,PACK OF 500S,255,571,kesses_lab_products.csv,0.67|init.5934944d-65fc-5b2b-94c3-ecdf5ac75e4c|kesses_non_pharmaceuticals.csv|APPLICATOR STICKS
NL04TUB024,NL04TUB024,BLOOD COLLECTION TUBE (RED TOP 4 ML),BLOOD COLLECTION TUBE (RED TOP 4 ML),False,LAB PRODUCTS,SAMPLE COLLECTION TUBES,PACK OF 1000S,5800,576,kesses_lab_products.csv,
NL08LBL024,NL08LBL024,EDTA-K BLOOD COLLECTION TUBES 4ML,EDTA-K BLOOD COLLECTION TUBES 4ML,False,LAB PRODUCTS,SAMPLE COLLECTION TUBES,PACK OF 100S,698,591,kesses_lab_products.csv,
DM07HBA002,DM07HBA002,HBA1C CALIBRATORSHBA1C CALIBRATORS - SD BIOSENSOR,HBA1C CALIBRATORSHBA1C CALIBRATORS - SD BIOSENSOR,False,LAB PRODUCTS,LABORATORY DIAGNOSTIC EQUIPMENT,Each,10795,601,kesses_lab_products.csv,0.38|init.78a7f303-ef5b-5a9d-bb94-9851ae737a0d|kesses_lab_products.csv|HBA1C (GLYCATED HAEMOGLOBIN) ANALYZER - SD BIOSENSOR ;; 0.38|init.664363fb-3188-55a8-97f1-4c7bb9495312|kesses_lab_products.csv|HBA1C (GLYCATED HAEMOGLOBIN) CUVETTES - SD BIOSENSOR
DM07HBA003,DM07HBA003,HBA1C CONTROLS -  SD BIOSENSOR,HBA1C CONTROLS - SD BIOSENSOR,True,LAB PRODUCTS,LABORATORY DIAGNOSTIC EQUIPMENT,Each,8255,602,kesses_lab_products.csv,0.43|init.78a7f303-ef5b-5a9d-bb94-9851ae737a0d|kesses_lab_products.csv|HBA1C (GLYCATED HAEMOGLOBIN) ANALYZER - SD BIOSENSOR ;; 0.43|init.664363fb-3188-55a8-97f1-4c7bb9495312|kesses_lab_products.csv|HBA1C (GLYCATED HAEMOGLOBIN) CUVETTES - SD BIOSENSOR
NL08OBT001,NL08OBT001,OCCULT BLOOD (IFOB),OCCULT BLOOD (IFOB),False,LAB PRODUCTS,LABORATORY DIAGNOSTIC SUPPLIES AND REAGENTS,PACK OF 50S,3300,629,kesses_lab_products.csv,
NE03GUB005,NE03GUB005,GUMBOOTS SIZE 9,GUMBOOTS SIZE 9,False,LINEN PRODUCTS,PROTECTIVE CLOTHING & GEAR,PAIR,1473,659,kesses_linen_products.csv,
NU02PAT033,NU02PAT033,PATIENT UNIFORM- PYJAMAS BLUE/WHITE STRIPED - LARGE (GEN WARD),PATIENT UNIFORM- PYJAMAS BLUE/WHITE STRIPED - LARGE (GEN WARD),False,LINEN PRODUCTS,PATIENT UNIFORMS,Each,2903,674,kesses_linen_products.csv,0.58|init.b2b2a0e8-e7c5-5ee7-aec6-7c819c343f41|kesses_linen_products.csv|PATIENT UNIFORM PAJAMAS GREEN/WHITE STRIPED EXTRA LARGE (GEN WARD) ;; 0.50|init.9586bb19-b8c6-5d18-8f7e-04d4e1e52995|kesses_linen_products.csv|PATIENT UNIFORM PAJAMAS GREEN AND WHITE STRIPPED LARGE (GEN WARD) ;; 0.46|init.6efad154-5794-59cd-8203-7f4a972c1ec5|kesses_linen_products.csv|PATIENT UNIFORM- PYJAMAS BLUE/WHITE COTTON DRILL-LARGE (PYCH UNIT)
NU02STA032,NU02STA032,THEATRE SCHOLLS (CLOGS)  SIZE 7-7 1/2,THEATRE SCHOLLS (CLOGS) SIZE 7-7 1/2,True,LINEN PRODUCTS,PROTECTIVE CLOTHING & GEAR,PAIR,1700,683,kesses_linen_products.csv,
NM13DEN004,NM13DEN004,ACRYLIC TEETH LOWER ANTERIOR  SET OF 6,ACRYLIC TEETH LOWER ANTERIOR SET OF 6,True,DENTAL PRODUCTS,DENTAL CONSUMABLES,SET,445,700,kesses_dental_products.csv,
NM13GEN339,NM13GEN339,GUTTA-PERCHA (SIZE 55),GUTTA-PERCHA (SIZE 55),False,DENTAL PRODUCTS,DENTAL CONSUMABLES,PACK OF 120S,762,702,kesses_dental_products.csv,
NM13DEN342,NM13DEN342,GUTTA-PERCHA (SIZE 70),GUTTA-PERCHA (SIZE 70),False,DENTAL PRODUCTS,DENTAL CONSUMABLES,PACK OF 120S,762,703,kesses_dental_products.csv,
NM13DEN344,NM13DEN344,GUTTA-PERCHA (SIZE 80),GUTTA-PERCHA (SIZE 80),False,DENTAL PRODUCTS,DENTAL CONSUMABLES,PACK OF 120S,762,704,kesses_dental_products.csv,
EM11EXC001,EM11EXC001,EXAMINATION COUCH,EXAMINATION COUCH,False,EQUIPMENT,WARD FURNITURE,PIECE,21800,749,kesses_equipments.csv,
EM10XYC002,EM10XYC002,OXYGEN CONCENTRATOR,OXYGEN CONCENTRATOR,False,EQUIPMENT,RESUSCITATION AND OXYGEN THERAPY EQUIPMENT,PIECE,152000,754,kesses_equipments.csv,
PM07LGN011,PM07LGN011,LIGNOCAINE 2% DENTAL CART WITH ADRENALINE-1:80 000,LIGNOCAINE 2% DENTAL CART WITH ADRENALINE-1:80 000,False,OTHER,LOCAL ANAESTHETICS,PACK OF 50,2900,1014,kesses_non_pharmaceuticals.csv,
PM06AMV002,PM06AMV002,VALSARTAN + AMLODIPINE + HYDROCHLORTHIAZIDE 160MG/10MG/12.5MG TABLETS  - Ex Forge HCT,VALSARTAN + AMLODIPINE + HYDROCHLORTHIAZIDE 160MG/10MG/12.5MG TABLETS - Ex Forge HCT,True,OTHER,ANTIHYPERTENSION MEDICINES,PACK OF 28S,2850,1015,kesses_non_pharmaceuticals.csv,0.70|init.9fbbf2f7-d71f-5bfb-9db2-78ae1c853f85|kesses_pharmaceuticals_stock.csv|VALSARTAN + AMLODIPINE + HYDROCHLORTHIAZIDE 160MG/10MG/12.5MG TABLETS
